1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
295.589048;298.012952;280.413276;300.416417;291.59205;284.713278;307.615979;327.206083;333.630709;331.02959;311.776374;332.099988;322.656246;323.942193;315.883204;345.256652;351.782827;357.945388;367.333676;365.716626;370.916736;382.945754;379.796491;365.043641;351.808473;308.009942;281.605334;282.991369;290.2346;280.599535;272.452502;271.374751;275.77101;264.046024;265.075253;257.771784;262.172902;261.354733;263.116972;259.559867;260.306361;261.384852;263.480189;266.745193;268.894257;262.001758;266.016738;269.965456;275.934135;278.983957;271.985752;273.022471
901.069652;929.219009;940.101155;947.613222;961.984543;792.262068;801.789617;756.039885;823.003179;843.073852;878.378076;939.569212;952.243696;1028.254859;1052.827127;1129.002475;1146.591662;1180.740909;1235.551243;1288.035032;1274.084307;1263.727518;1270.73418;1329.550555;1386.59349;1455.207204;1517.162891;1596.467368;1693.200416;1854.392865;1951.695306;2062.518985;2164.659949;2261.413852;2355.6338;2508.227263;2762.96702;3004.01313;3180.163221;3100.138642;3123.307512;3207.068634;3203.304916;3187.279197;3173.420449;3167.79631;3266.556438;3375.571568;3462.410943;3689.162775;2948.385436;3120.896203
562.999549;535.848335;501.475772;401.370141;377.007901;382.173768;407.671725;363.211719;368.025383;316.009411;291.020489;283.568753;272.635567;273.872185;277.230827;280.650136;280.471546;327.429621;366.916634;353.108573;343.580617;355.732146;362.762962;358.240396;371.491045;383.285826;391.485615;404.481381;416.096948;456.655096;490.867495;518.043875;542.298388;578.029521;626.596464;697.288556;759.144546;822.213793;862.819998;850.644049;888.32885;937.401692;991.483077;1049.304987;1108.647138;1170.742816;1236.451516;1305.961926;1386.839112;1465.00685;1403.276534;1429.322259
926.599368;928.022883;930.008889;948.378213;954.747156;963.997889;886.971049;983.11717;1167.033522;1202.923918;1302.827874;1348.869685;1414.423804;1501.139488;1576.222657;1564.63773;1437.175088;1314.874007;1226.959672;1199.700806;1136.376989;1104.323041;1081.745669;1058.718722;1048.193542;1048.912448;1063.840527;1082.82172;1104.408969;1124.04937;1136.763793;1155.175716;1174.982002;1205.697584;1255.742828;1249.11308;1261.916409;1280.422975;1280.050609;1276.215296;1276.299306;1282.595886;1304.680157;1331.851554;1365.932339;1398.616333;1418.955462;1428.153311;1444.174266;1453.46353;1418.254638;1431.778882
21372.24735;21759.78742;22614.08704;23859.50412;24306.8731;24316.87863;25410.451;25981.31498;26660.23752;27356.88723;27613.21393;28222.19294;27011.6621;27431.06334;28777.94646;29859.21133;30181.85355;31029.96628;31941.50467;32166.55678;31738.63325;30678.80818;30592.59146;31055.47414;32100.74913;32618.61527;32805.79275;33879.15652;34893.14076;36386.8818;37917.21278;38198.2313;38949.50818;39278.68365;40120.42746;41014.92728;41686.55274;42122.17553;42089.14598;40401.09598;41196.34423;42046.59643;42332.72226;42859.35464;43664.8889;43549.85042;43521.40713;44303.61835;44942.68552;45196.58271;42488.57063;44306.59698
33147.33965;32402.41271;33063.71677;35787.0159;37306.2411;38998.85898;40888.20592;42974.20458;45339.11345;47905.01048;50424.80528;52928.40528;55606.1499;60188.48214;61940.46271;61438.54578;63602.77741;66872.99668;73557.59113;77061.85449;83414.96636;80477.25543;79084.65537;79115.2117;79653.02998;79957.73721;80532.18895;81652.27873;102436.4335;102176.0331;99630.25301;96778.14826;95196.82921;93988.02566;91850.13499;94799.1311;96176.30101;94104.88062;93166.31598;84026.97236;79519.84465;78393.73677;77448.51029;76617.54415;76872.5807;77295.85317;78077.43961;78883.2812;80597.70911;82170.59313;76609.76776;78731.14629
690.247143;655.385536;629.816601;645.654226;614.254348;613.214733;630.933091;674.770597;676.028783;652.641258;616.972944;619.917731;624.243616;579.730584;614.611541;627.770848;642.542118;603.393873;606.317475;606.073322;578.630233;567.511757;542.426301;523.490254;533.541728;545.820423;491.589218;507.363279;516.048913;531.692234;526.945816;518.46177;504.041214;457.306339;459.881472;460.353111;472.634802;482.561187;485.009821;488.018595;500.150664;513.20577;534.478962;337.909908;338.444183;351.613583;361.94434;371.32204;377.976949;380.646014;374.681719;370.451223
549.05676;548.13988;499.695732;464.738261;516.735161;593.439304;573.367757;521.054428;509.598824;392.200915;368.039873;328.198236;329.86309;362.959878;376.658824;402.499782;413.852149;414.210452;431.038238;424.404383;426.409628;426.829719;418.599104;402.000403;415.632702;403.345694;394.153811;402.389388;415.81336;399.593895;384.240323;414.461484;434.502854;477.257336;610.278151;632.802574;613.58388;713.162036;712.670723;766.552523;869.946235;858.629553;922.024951;960.340548;1011.472932;1018.425377;943.16179;909.186601;932.098951;932.727771;884.348931;846.638029
4294.470621;4602.242308;4474.090465;4158.672379;4133.077426;3543.063795;3611.584129;3907.972696;4165.355355;4443.844407;4727.692494;4948.999663;4215.027722;4039.073576;4216.501295;4237.190302;4407.059506;4624.403204;4883.524796;5312.777865;5420.759375;5758.243709;6361.875634;6701.265687;6977.959917;7609.178904;8062.175902;8482.251965;8646.853111;8479.475027;8758.901197;8954.265632;9050.832425;9294.356278;9847.819177;10354.38193;10901.11551;11324.33308;11607.26963;11308.89627;11849.71289;12449.78259;12984.75656;13380.24327;13480.23085;13649.54632;13719.00125;13666.35686;13921.62029;13776.06895;12754.76259;14110.8338
315.04169;328.927963;336.07325;356.454785;357.693341;378.807287;374.371012;399.037706;437.977483;466.914454;497.602885;518.006894;551.393117;598.068306;674.883679;743.181425;798.005327;877.190658;956.169823;978.249514;999.851655;1072.478971;1202.637067;1346.152198;1497.887239;1635.480002;1774.437923;1916.827808;2031.845895;2164.751129;2330.989736;2496.609171;2696.701326;2939.39392;3216.972548;3554.577285;3972.374532;4494.962836;4881.071999;5279.565948;5798.064649;6304.361739;6740.848723;7205.425299;7675.787137;8144.221236;8638.596735;9177.763741;9741.21426;10264.96241;10431.72556;11303.30628
6789.397835;7151.588287;7719.410577;8449.50579;8438.335092;8273.243184;9383.614395;10245.6132;10850.33675;11846.03572;12766.2815;13676.04243;13836.50521;14425.58449;15622.11259;15513.20989;16973.96742;18952.3838;20249.4278;20396.96281;20866.81419;21740.59572;22772.25344;23858.27716;24974.82709;25259.93169;25963.11863;26830.53481;24847.8474;25102.90456;26668.3869;26540.57062;26793.91421;27462.00854;29723.71418;31823.68736;33945.65027;35929.26437;36437.62522;35321.58889;37511.95369;39082.837;39424.8665;40298.00024;41099.39306;41809.78321;42511.99026;43974.44378;45105.24266;44264.70249;41340.99617;44041.52884
